"ID","ID"
"Name","Name"
"Type","Type"
"Text only","Text only"
"Text and image","Text and image"
"Image only","Image only"
"Store View","Store View"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Priority","Priority"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Please enter new rule name","Please enter new rule name"
"Save And Continue Edit","Save And Continue Edit"
"New Stock Rule","New Stock Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Custom Stock Display Rules","Custom Stock Display Rules"
"General","General"
"Labels","Labels"
"Rule Information","Rule Information"
"Add New Rule","Add New Rule"
"Rule Title","Rule Title"
"Rule Priority","Rule Priority"
"Conditions","Conditions"
"Rule was successfully deleted","Rule was successfully deleted"
"Delete error","Delete error"
"This rule no longer exists","This rule no longer exists"
"Rule was successfully saved","Rule was successfully saved"
"Custom Stock Display","Custom Stock Display"
"Store","Store"
"Category","Category"
"Order status","Order status"
"Contains any of these SKUs","Contains any of these SKUs"
"is","is"
"is not","is not"
"By default","By default"
"Out of stock","Out of stock"
"Text:","Text:"
"Image:","Image:"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Qty:","Qty:"
"Title:","Title:"
"Change status","Change status"
"Are you sure?","Are you sure?"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"In stock","In stock"
"Out of stock","Out of stock"
"Availability:","Availability:"
"Rules with greater priority value are processed first","Rules with greater priority value are processed first"
"Please, wait...","Please, wait..."
"Stock status is unknown","Stock status is unknown"
"New Rule","New Rule"
"Edit Rule","Edit Rule"
