"%d Catalog Price Rules based on ""%s"" attribute have been disabled."," ""%s"" özelliği üzerinden oluşturulan %d promosyon kuralları devre dışı kaldı."
"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Kural Ekle"
"An error occurred while deleting the rule. Please review the log and try again.","Kural silinirken hata oluştu. Lütfen işlem kaydını kontrol edip tekrar deneyiniz."
"An error occurred while saving the rule data. Please review the log and try again.","Kural kaydedilirken hata oluştu. Lütfen işlem kaydını kontrol edip tekrar deneyiniz.."
"Apply","Uygula"
"Apply Rules","Kuralları Uygula"
"Attribute Set","Özellik Seti"
"By Fixed Amount","Sabit Tutar İle"
"By Percentage of the Original Price","Orijinal Fiyatın Yüzdesi İle"
"Catalog","Katalog"
"Catalog Price Rule","Katalog Fiyat Kuralı"
"Catalog Price Rules","Katalog Fiyat Kuralları"
"Category","Kategori"
"Conditions","Durumlar"
"Conditions (leave blank for all products)","Durumlar (Tüm ürünler için boş bırakınız)"
"Conditions Combination","Durum Kombinasyonu"
"Customer Groups","Müşteri Grupları"
"Date Expire","Bitiş Tarihi"
"Date From","Bu Tarihten İtibaren"
"Date Start","Başlangıç Tarihi"
"Date To","Bu Tarihe Kadar"
"Description","Açıklama"
"Discount Amount","İndirim Miktarı"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Enable Discount to Subproducts","Alt Ürünlere de indirim uygula"
"Expiration Date","Son Geçerlilik Tarihi"
"From Date","Bu Tarihten İtibaren"
"General Information","Genel Bilgi"
"ID","No"
"Inactive","Pasif"
"New Rule","Yeni Kural"
"No","Hayır"
"Options","Seçenekler"
"Priority","Önem"
"Product Attribute","Ürün Özellikleri"
"Promotions","Promosyonlar"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Save and Apply","Kaydet ve Uygula"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Start Date","Başlangıç Tarihi"
"Status","Durum"
"Stop Further Rules Processing","Sonraki kuralların çalışmasını durdur"
"The rule has been deleted.","Kural silindi."
"The rule has been saved.","Kural kaydedildi."
"The rules have been applied.","Kurallar uygulandı."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Güncelleme yapılıp uygulanmamış kural(lar) var. Sadece yetkili kullanıcılar kuralları uygulayabilir."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Güncelleme yapılıp uygulanmamış kural(lar) var. Kuralların mağazadaki etkisini görmek için lütfen Kuralları Uygula işlemi yapınız."
"This rule no longer exists.","Kural bulunamıyor."
"To Date","Tarihine Kadar"
"To Fixed Amount","Sabit Tutara"
"To Percentage of the Original Price","Orjinal Fiyatın Yüzdesine"
"Type","Tip"
"Unable to apply rules.","Kurallar uygulanamadı."
"Unable to find a rule to delete.","Silinecek kural bulunamadı."
"Update Prices Using the Following Information","Aşağıdaki Bilgilere Göre Fiyatları Güncelle"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Website","Web sitesi"
"Websites","Web Siteleri"
"Wrong rule specified.","Hatalı kural seçimi yapıldı."
"Yes","Evet"
