"Copy the text in the image above","Resimdeki karakterleri girin"
"Submit Your Testimonial","Görüşlerinizi iletin"
"Your Name","Adınız"
"Your Email","Eposta adresiniz"
"Your Website","Web siteniz"
"Your Company","Şirketiniz"
"Your Address","Adresiniz"
"Your Avatar","Resiminiz"
"Your Testimonial","Görüşünüz"
"Back","Geri"
"Submit","Gönder"
"* Required Fields","* Gerekli Alanlar"
"Customer Testimonials","Müşteri Görüşleri"
"Submit Your Testimonial","Görüşlerinizi iletin"
"There is no testimonial submitted.","Henüz görüş gönderilmedi"
"Latest Testimonial","Ne Dediler"
"Submit Testimonial","Görüşleri gönder"
"View more","Daha fazlası"
"%s Testimonial(s)","%s Görüş"
"Testimonials %s to %s of %s total","%3s görüşten %1s - %2s arasındakiler"
