"Costs for inland shipping","Yurtiçi ücreti"
"Costs for shipping to foreign countries","Yurtdışı ücreti"
"Custom text for checkout page","Alışverişi Bitir sayfası için özel metin"
"Cash on Delivery","Kapıda Ödeme"
"Cash on Delivery fee","Kapıda Ödeme Ücreti"
"You will be charged an extra fee of %s.","Bu metod için %s ekstra ödeyeceksiniz."
"Incl. Tax","KDV Dahil"
"Cash on Delivery fee (Excl.Tax)","Kapıda Ödeme Ücreti (KDV Hariç)"
"Cash on Delivery fee (Incl.Tax)","Cash on Delivery fee (KDV Dahil)"
"Cash on Delivery fee %s","Kapıda Ödeme Ücreti %s"
"Refund Cash on Delivery fee","Kapıda Ödeme Ücretini iade et"
"Cost calculation","Ücret hesaplaması"
"Fixed","Sabit"
"Percentage","Yüzde"
"Cost calculation base","Hesaplamayı şuna göre yap"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Lütfen hesaplamada kullanılmak üzere bir sales_flat_quote_address attribute kodu girin."
