"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"KOGDA12150099";72;80
"store_7x24petshop_main_tr";"KOGDA12111665";90,42;100,47
"store_7x24petshop_main_tr";"KOGDA12150119";202,51;225,01
"store_7x24petshop_main_tr";"KOGDA12150303";62,6;69,56
"store_7x24petshop_main_tr";"KOGDA12150562";180;200
"store_7x24petshop_main_tr";"KOGDA12152399";72;80
"store_7x24petshop_main_tr";"KOGDA12152596";72;80
"store_7x24petshop_main_tr";"KOGDA12150307";58,25;64,72
"store_7x24petshop_main_tr";"KOGDA12111664";81,01;90,01
"store_7x24petshop_main_tr";"KOGDA12150783";171;190
"store_7x24petshop_main_tr";"KEGDA12171549";49,5;55
"store_7x24petshop_main_tr";"KEGDA12171004";76,5;85
"store_7x24petshop_main_tr";"KEGDA12172080";51,3;57
"store_7x24petshop_main_tr";"KEGDA5120624";78,3;87
"store_7x24petshop_main_tr";"KEGDA5120627";115,12;127,91
"store_7x24petshop_main_tr";"KEGDA12171887";178,19;197,99
"store_7x24petshop_main_tr";"KEGDA12172061";55,8;62
"store_7x24petshop_main_tr";"KEGDA5120622";85,5;95
"store_7x24petshop_main_tr";"KEGDA5120626";118,85;132,05
"store_7x24petshop_main_tr";"KEGDA12172132";211,51;235,01
"store_7x24petshop_main_tr";"KOGDA12199806";72;80
"store_7x24petshop_main_tr";"KOGDA12199874";211,51;235,01
"store_7x24petshop_main_tr";"KOGDA12150313";72;80
"store_7x24petshop_main_tr";"KOGDA12150564";211,51;235,01
"store_7x24petshop_main_tr";"KOGDA12199893";211,51;235,01
"store_7x24petshop_main_tr";"KOGDA12150380";72;80
"store_7x24petshop_main_tr";"KOGDA12199894";72;80
"store_7x24petshop_main_tr";"KOGDA12199895";202,5;225
"store_7x24petshop_main_tr";"KOGDA12199809";202,5;225
"store_7x24petshop_main_tr";"KOGDA12111662";90,42;100,47
"store_7x24petshop_main_tr";"KOGDA12150838";207;230
"store_7x24petshop_main_tr";"KOGDA12152740";72;80
"store_7x24petshop_main_tr";"KOGDA12150387";67,5;75
